dt,Kabul,Luanda,Melbourne,Sydney,Dhaka,Belo Horizonte,Brasília,Fortaleza,Rio De Janeiro,Sao Paulo,Salvador,Rangoon,Montreal,Toronto,Santiago,Changchun,Chengdu,Chongqing,Dalian,Guangzhou,Harbin,Jinan,Nanjing,Peking,Shanghai,Shenyang,Taipei,Taiyuan,Tangshan,Tianjin,Wuhan,Xian,Bogotá,Cali,Kinshasa,Santo Domingo,Alexandria,Cairo,Gizeh,Addis Abeba,Paris,Berlin,Ahmadabad,Bangalore,Bombay,Calcutta,Delhi,Hyderabad,Jaipur,Kanpur,Lakhnau,Madras,Nagpur,New Delhi,Pune,Surat,Jakarta,Surabaya,Mashhad,Baghdad,Rome,Abidjan,Nagoya,Tokyo,Nairobi,Mexico,Casablanca,Ibadan,Kano,Lagos,Faisalabad,Karachi,Lahore,Lima,Manila,Moscow,Saint Petersburg,Jiddah,Riyadh,Dakar,Singapore,Mogadishu,Cape Town,Durban,Seoul,Madrid,Umm Durman,Aleppo,Dar Es Salaam,Bangkok,Ankara,Istanbul,Izmir,Kiev,London,Chicago,Los Angeles,New York,Ho Chi Minh City,Harare
1833-01-01,2.29,,,,18.567,22.573,22.182,,25.256,22.336,25.963,24.05,-9.007,-4.223,,-17.272,0.2,,,,-20.065,,,-5.444,,-12.104,,-9.096,-4.443,-5.444,,,,,,,13.119,12.144,12.144,,-0.577,-3.579,19.565,22.505,24.198,18.799,14.558,22.621,15.808,14.659,14.659,24.075,19.246,14.558,20.387,20.138,,,0.264,9.082,0.778,,,,,,10.048,,,,12.535,17.91,12.535,,,-11.049,-6.361,,,,,,,,,2.505,,4.015,,25.152,-3.307,2.415,8.247,-8.376,0.506,2.742,,-0.84,,
1833-02-01,3.319,,,,21.379,24.176,22.935,,27.569,23.833,26.768,25.541,-12.008,-7.67,,-13.002,2.123,,,,-15.224,,,-2.313,,-8.618,,-5.311,-1.474,-2.313,,,,,,,14.432,14.13,14.13,,6.243,3.749,21.777,24.674,24.1,21.794,17.251,25.371,18.441,17.662,17.662,25.895,21.75,17.251,22.685,22.753,,,1.519,11.55,5.008,,,,,,11.516,,,,14.483,20.275,14.483,,,-7.742,-6.535,,,,,,,,,5.694,,7.538,,26.523,1.332,6.368,10.974,-3.38,5.518,1.018,,-2.744,,
1833-03-01,7.444,,,,25.907,22.732,21.882,,26.151,22.049,25.678,28.098,-5.515,-3.134,,-4.797,5.865,,,,-6.304,,,3.487,,-1.598,,0.781,3.819,3.487,,,,,,,15.343,16.279,16.279,,4.521,2.393,25.617,26.367,24.923,26.779,22.336,28.264,23.19,23.056,23.056,27.51,25.806,22.336,25.611,26.408,,,5.439,14.626,6.369,,,,,,11.782,,,,19.109,23.912,19.109,,,-5.325,-6.713,,,,,,,,,5.216,,10.057,,27.93,4.004,6.84,11.438,-0.934,3.352,3.859,,1.221,,
1833-04-01,13.576,,,,27.443,21.599,21.84,,25.279,20.38,25.314,29.076,5.642,6.8,,5.538,10.435,,,,4.565,,,12.206,,7.132,,8.881,11.905,12.206,,,,,,,17.951,20.466,20.466,,8.398,6.439,30.019,27.617,26.968,28.903,28.342,31.117,29.063,28.557,28.557,30.112,30.674,28.342,28.557,29.98,,,12.047,21.277,9.231,,,,,,14.773,,,,25.51,27.834,25.51,,,4.278,0.799,,,,,,,,,8.765,,15.681,,28.641,9.237,10.656,14.249,6.998,7.51,9.031,,10.386,,
1833-05-01,19.321,,,,27.52,18.783,20.321,,23.095,17.087,23.944,28.101,12.954,13.454,,14.312,14.199,,,,13.799,,,19.675,,14.308,,15.769,19.083,19.675,,,,,,,20.982,24.349,24.349,,16.454,16.841,32.252,27.127,28.256,29.227,32.515,31.979,33.001,31.908,31.908,32.212,33.068,32.515,29.152,31.382,,,17.197,27.195,16.719,,,,,,18.25,,,,30.88,30.421,30.88,,,11.028,7.611,,,,,,,,,14.429,,21.105,,28.206,14.229,16.572,19.527,14.825,15.073,12.714,,15.908,,
1833-06-01,24.406,,,,29.401,18.076,19.586,,23.183,16.283,23.556,27.692,14.323,13.935,,19.554,17.685,,,,19.151,,,23.642,,19.413,,19.966,23.099,23.642,,,,,,,24.411,27.517,27.517,,17.209,18.33,31.645,25.598,28.314,30.691,33.735,30.338,33.385,32.755,32.755,32.349,31.475,33.735,27.396,30.603,,,22.613,32.722,20.213,,,,,,23.09,,,,33.566,31.606,33.566,,,18.505,14.89,,,,,,,,,18.518,,26.687,,28.278,19.381,21.565,24.029,21.015,15.173,15.415,,17.506,,
1833-07-01,25.447,,,,28.291,17.763,19.224,,22.358,15.948,22.628,26.193,18.2,18.062,,22.796,19.493,,,,22.438,,,26.108,,23.209,,22.359,25.063,26.108,,,,,,,25.726,28.021,28.021,,17.413,17.571,28.578,24.706,27.093,28.845,31.04,27.531,29.948,29.904,29.904,31.23,26.979,31.04,24.767,28.022,,,24.596,34.889,19.6,,,,,,24.3,,,,32.234,30.369,32.234,,,18.069,15.858,,,,,,,,,19.848,,29.142,,27.365,21.508,22.491,24.886,20.026,16.333,21.501,,21.611,,
1833-08-01,23.827,,,,27.743,19.717,21.194,,22.544,17.523,22.739,25.662,15.785,16.84,,20.823,18.406,,,,20.334,,,24.012,,21.752,,19.377,22.426,24.012,,,,,,,25.855,27.217,27.217,,16.302,14.518,26.521,23.304,25.615,28.025,28.959,25.44,27.575,28.001,28.001,28.834,24.832,28.959,23.175,26.171,,,,33.369,19.856,,,,,,24.676,,,,30.555,28.467,30.555,,,14.094,12.536,,,,,,,,,20.17,,27.77,,26.798,20.099,20.962,24.242,15.44,14.622,21.84,,19.515,,
1833-09-01,19.593,,,,27.721,21.243,22.788,,22.086,18.684,23.095,26.057,11.9,13.277,,14.849,15.318,,,,13.968,,,19.567,,16.311,,14.509,18.186,19.567,,,,,,,24.68,25.427,25.427,,13.572,13.586,26.803,23.032,25.842,27.962,28.089,25.369,27.234,27.254,27.254,27.765,25.396,28.089,23.53,26.252,,,,30.21,15.351,,,,,,21.481,,,,28.65,27.634,28.65,,,9.865,11.08,,,,,,,,,15.483,,24.775,,26.551,16.774,18.62,21.501,12.986,12.382,18.395,,16.113,,
1833-10-01,13.87,,,,26.046,21.603,22.358,,21.77,19.403,23.284,25.878,4.928,6.04,,4.992,9.927,,,,3.59,,,11.371,,7.414,,6.874,10.919,11.371,,,,,,,21.528,21.568,21.568,,10.717,8.214,26.067,22.845,26.43,26.046,24.868,24.51,24.905,24.092,24.092,26.57,24.021,24.868,23.086,25.382,,,,22.7,11.989,,,,,,16.53,,,,24.112,25.948,24.112,,,3.396,6.431,,,,,,,,,10.543,,17.297,,25.522,9.44,13.093,16.99,4.912,9.935,10.572,,9.247,,
